,scale,degree,count,newCount
1,good_excellent,hi1,3,93
2,good_excellent,hi2,2,92
4,good_excellent,low1,34,34
5,good_excellent,low2,14,14
6,liked_loved,hi1,5,95
7,liked_loved,hi2,4,94
9,liked_loved,low1,45,45
10,liked_loved,low2,51,51
11,memorable_unforgettable,hi1,3,93
12,memorable_unforgettable,hi2,1,91
14,memorable_unforgettable,low1,13,13
15,memorable_unforgettable,low2,40,40
16,palatable_delicious,hi1,1,91
17,palatable_delicious,hi2,0,90
19,palatable_delicious,low1,16,16
20,palatable_delicious,low2,24,24
21,some_all,hi1,23,113
22,some_all,hi2,23,23
23,some_all,low1,25,115
25,some_all,low2,39,39
